price,model,mileage
"$7,200","Volkswagen Jetta, 2.5 л., 2009 г.","Давидашен, 2009 г., 148,000 миль, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 89,000 км, Бензин"
"$10,700","Ford Fusion (North America), 2.0 л., гибрид, 2017 г.","В пути, 2017 г., 123,547 миль, Гибрид"
"$5,700","Toyota Vitz хэтчбек, 1.0 л., 2008 г.","Арабкир, 2008 г., 125,000 км, Бензин"
"$9,200","Chevrolet Cruze, 1.4 л., 2016 г.","Арабкир, 2016 г., 78,000 миль, Бензин"
"$10,000","Ford Fusion (North America), 2.5 л., 2013 г.","Чаренцаван, 2013 г., 130,000 миль, Бензин"
"$9,400","Kia Optima, 2.4 л., 2011 г.","Эчмиадзин, 2011 г., 109,000 км, Бензин"
"$10,950","Hyundai Elantra, 1.8 л., 2015 г.","Шенгавит, 2015 г., 98,000 миль, Бензин"
"$2,900","Nissan Sentra, 1.8 л., 2018 г.","В пути, 2018 г., 45,000 миль, Бензин"
"$8,500","Mercedes-Benz B-Class хэтчбек, 2.0 л., 2008 г.","Мартуни, 2008 г., 130,000 км, Бензин"
"$10,500","BMW 5 Series, 3.0 л., 2011 г.","Давидашен, 2011 г., 90,000 миль, Бензин"
"$7,200","Mercedes-Benz A-Class хэтчбек, 1.7 л., 2007 г.","Кентрон, 2007 г., 150,000 км, Бензин"
"$11,000","Nissan Versa хэтчбек, 1.6 л., 2017 г.","Балаовит, 2017 г., 35,000 миль, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 78,000 км, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 89,000 км, Бензин"
"$10,300","Volkswagen Jetta, 2.5 л., 2011 г.","Армавир, 2011 г., 110,000 миль, Бензин"
"$10,300","Nissan Rogue, 2.5 л., полный привод, 2017 г.","В пути, 2017 г., 74,000 миль, Бензин"
